calories,proteins,fat,carbohydrate,name,calories_norm,proteins_norm,fat_norm,carbo_norm
336.0,37.4,13.0,30.5,Bungkil Kacang Tanah,0.3574468085106383,0.45060240963855425,0.13,0.04714064914992272
368.0,23.0,15.0,40.0,Bungkil Kelapa,0.39148936170212767,0.27710843373493976,0.15,0.061823802163833076
106.0,4.4,6.3,7.9,Buntil ,0.1127659574468085,0.05301204819277109,0.063,0.012210200927357032
141.0,4.4,10.2,8.0,Buntil daun talas,0.15,0.05301204819277109,0.102,0.012364760432766615
125.7,3.3,1.9,23.9,Buras ,0.13372340425531914,0.03975903614457831,0.019,0.03693972179289026
281.0,37.5,0.3,32.1,Burung sarang segar,0.298936170212766,0.45180722891566266,0.003,0.04961360123647605
38.0,1.6,0.8,6.3,Cabai gembor merah segar,0.04042553191489362,0.01927710843373494,0.008,0.009737248840803708
26.0,0.7,0.3,5.2,Cabai hijau segar,0.027659574468085108,0.008433734939759036,0.003,0.0080370942812983
367.0,15.9,6.2,61.8,Cabai merah kering,0.3904255319148936,0.19156626506024096,0.062000000000000006,0.0955177743431221
36.0,1.0,0.3,7.3,Cabai merah segar,0.03829787234042553,0.012048192771084338,0.003,0.011282843894899535
120.0,4.7,2.4,19.9,Cabai rawit segar,0.1276595744680851,0.05662650602409639,0.024,0.030757341576506954
20.0,1.7,0.4,3.4,Caisin segar,0.02127659574468085,0.020481927710843374,0.004,0.005255023183925811
155.0,20.1,3.8,10.2,Cakalang asar (asap papua),0.1648936170212766,0.24216867469879522,0.038,0.015765069551777432
323.0,4.9,11.5,50.1,Cake tape,0.34361702127659577,0.05903614457831326,0.115,0.07743431221020093
102.0,3.2,6.0,8.7,Cammetutu,0.10851063829787234,0.03855421686746988,0.06,0.013446676970633693
366.0,11.0,3.3,73.0,Cantel mentah,0.3893617021276596,0.13253012048192772,0.033,0.11282843894899536
97.0,5.8,6.3,4.2,Cap cai sayur,0.10319148936170212,0.06987951807228916,0.063,0.006491499227202473
24.0,1.9,0.2,3.7,Carica papaya segar,0.025531914893617023,0.02289156626506024,0.002,0.00571870170015456
460.0,0.8,18.7,17.2,Cassavastick,0.48936170212765956,0.00963855421686747,0.187,0.02658423493044822
116.0,3.0,0.4,28.6,Cempedak,0.12340425531914893,0.03614457831325302,0.004,0.04420401854714065
330.0,5.2,8.9,57.4,Cengkeh kering,0.35106382978723405,0.06265060240963856,0.08900000000000001,0.08871715610510046
332.0,11.0,3.3,73.0,Centel,0.35319148936170214,0.13253012048192772,0.033,0.11282843894899536
462.0,1.2,20.7,67.7,Ceriping getuk singkong,0.49148936170212765,0.014457831325301205,0.207,0.10463678516228749
168.0,13.0,9.6,7.5,Chicken teriyaki masakan,0.17872340425531916,0.1566265060240964,0.096,0.011591962905718702
143.0,9.8,1.4,22.8,Chikiniku masakan,0.15212765957446808,0.11807228915662651,0.013999999999999999,0.03523956723338485
